QueryId,DocumentId
201,clueweb12-1700tw-22-12689
201,clueweb12-0915wb-34-01721
201,clueweb12-0900wb-98-24673
201,clueweb12-1205wb-61-24105
201,clueweb12-1007wb-48-27054
201,clueweb12-0909wb-96-26247
201,clueweb12-0713wb-35-13648
201,clueweb12-0800tw-17-25760
201,clueweb12-0400tw-34-18992
201,clueweb12-0006wb-96-02778
201,clueweb12-0901tw-08-02360
201,clueweb12-0810wb-64-06846
201,clueweb12-1500tw-98-04929
201,clueweb12-0401tw-16-02547
201,clueweb12-1500tw-87-15657
201,clueweb12-0916wb-00-04079
201,clueweb12-1102wb-91-12621
201,clueweb12-1910wb-84-16059
201,clueweb12-1211wb-15-11029
201,clueweb12-0401tw-03-21671
201,clueweb12-0800tw-24-12533
201,clueweb12-1602wb-44-05440
201,clueweb12-1200tw-74-13246
201,clueweb12-0500tw-22-06416
201,clueweb12-1712wb-90-15515
201,clueweb12-0600tw-27-03059
201,clueweb12-0700tw-16-15536
201,clueweb12-1110wb-37-14389
201,clueweb12-1200tw-71-00213
201,clueweb12-0917wb-66-01171
201,clueweb12-0816wb-83-13972
201,clueweb12-0915wb-07-09887
201,clueweb12-1200tw-74-09560
201,clueweb12-0800tw-05-18710
201,clueweb12-1507wb-46-30038
201,clueweb12-1801wb-38-26067
201,clueweb12-0917wb-40-04837
201,clueweb12-0800tw-43-07338
201,clueweb12-0717wb-19-00907
201,clueweb12-0400tw-96-22358
201,clueweb12-0401tw-11-13679
201,clueweb12-1103wb-53-15541
201,clueweb12-1103wb-89-23937
201,clueweb12-0900tw-69-06553
201,clueweb12-0401tw-04-20151
201,clueweb12-1310wb-04-16486
201,clueweb12-1305wb-59-01481
201,clueweb12-0500tw-11-00340
201,clueweb12-1604wb-20-11054
201,clueweb12-1200tw-27-17833
201,clueweb12-0807wb-93-08686
201,clueweb12-0002wb-81-10226
201,clueweb12-0400tw-96-01734
201,clueweb12-0815wb-53-09186
201,clueweb12-1500tw-47-10531
201,clueweb12-0800tw-37-07485
201,clueweb12-1200tw-80-10421
201,clueweb12-0904wb-71-24469
201,clueweb12-0401tw-00-11091
201,clueweb12-1410wb-38-06953
201,clueweb12-1600tw-40-06466
201,clueweb12-0700tw-24-01437
201,clueweb12-1806wb-39-29403
201,clueweb12-1200tw-95-12617
201,clueweb12-0604wb-59-04476
201,clueweb12-1712wb-94-32026
201,clueweb12-1100tw-92-19247
201,clueweb12-0800tw-47-24240
201,clueweb12-1211wb-39-25876
201,clueweb12-1300tw-28-00541
201,clueweb12-0800tw-24-10527
201,clueweb12-0908wb-21-22923
201,clueweb12-1203wb-51-26700
201,clueweb12-1203wb-45-10051
201,clueweb12-0108wb-37-07006
201,clueweb12-0901wb-48-05421
201,clueweb12-1804wb-47-11412
201,clueweb12-0508wb-36-14116
201,clueweb12-1103wb-34-18912
201,clueweb12-0712wb-13-24284
201,clueweb12-0603wb-08-32699
201,clueweb12-0713wb-53-13641
201,clueweb12-0307wb-47-02869
201,clueweb12-0906wb-86-33232
201,clueweb12-0714wb-00-13547
201,clueweb12-0600wb-15-03061
201,clueweb12-1007wb-79-19956
201,clueweb12-1205wb-78-13462
201,clueweb12-0604wb-59-04462
201,clueweb12-1505wb-02-15177
201,clueweb12-0900wb-59-18923
201,clueweb12-1604wb-50-01444
201,clueweb12-1007wb-48-27068
201,clueweb12-1614wb-02-22267
201,clueweb12-1812wb-36-11474
201,clueweb12-0600tw-42-14363
201,clueweb12-0500tw-17-18276
201,clueweb12-1806wb-42-18285
201,clueweb12-1811wb-56-16219
201,clueweb12-0906wb-96-33932
202,clueweb12-0601wb-18-11856
202,clueweb12-1707wb-98-07904
202,clueweb12-1217wb-38-28443
202,clueweb12-1002wb-12-01571
202,clueweb12-1900tw-53-20555
202,clueweb12-1116wb-12-30914
202,clueweb12-0900tw-39-13453
202,clueweb12-0307wb-14-10525
202,clueweb12-0303wb-04-08428
202,clueweb12-1212wb-02-13082
202,clueweb12-1118wb-60-01284
202,clueweb12-0500tw-06-07919
202,clueweb12-1216wb-41-05666
202,clueweb12-1215wb-33-08369
202,clueweb12-1116wb-59-18964
202,clueweb12-1909wb-65-23698
202,clueweb12-0814wb-20-13703
202,clueweb12-1300wb-41-17656
202,clueweb12-0815wb-27-27558
202,clueweb12-0510wb-95-32597
202,clueweb12-1314wb-40-05225
202,clueweb12-0302wb-25-22790
202,clueweb12-0818wb-09-01540
202,clueweb12-0300tw-46-11156
202,clueweb12-0502wb-65-22527
202,clueweb12-0503wb-06-01803
202,clueweb12-0502wb-85-19374
202,clueweb12-1715wb-42-07042
202,clueweb12-1806wb-88-04355
202,clueweb12-1706wb-21-14905
202,clueweb12-1811wb-97-04637
202,clueweb12-0000wb-30-27936
202,clueweb12-1100tw-35-08357
202,clueweb12-1809wb-61-03622
202,clueweb12-0206wb-61-12908
202,clueweb12-0206wb-16-22957
202,clueweb12-1305wb-00-27580
202,clueweb12-0900tw-05-12646
202,clueweb12-1013wb-15-21838
202,clueweb12-1600wb-83-17270
202,clueweb12-0008wb-96-16081
202,clueweb12-1200wb-95-00626
202,clueweb12-0404wb-43-03460
202,clueweb12-1807wb-86-09003
202,clueweb12-0009wb-61-08932
202,clueweb12-1800tw-16-11800
202,clueweb12-0905wb-62-10264
202,clueweb12-0300wb-04-21283
202,clueweb12-0511wb-25-03910
202,clueweb12-1200wb-30-18551
202,clueweb12-0209wb-09-11391
202,clueweb12-0800tw-32-12258
202,clueweb12-1315wb-60-25009
202,clueweb12-0305wb-95-20076
202,clueweb12-0400tw-26-03936
202,clueweb12-0111wb-82-16175
202,clueweb12-0702wb-44-04201
202,clueweb12-0204wb-66-13464
202,clueweb12-1008wb-65-11355
202,clueweb12-0211wb-82-16019
202,clueweb12-0211wb-82-32886
202,clueweb12-1100wb-60-04970
202,clueweb12-1107wb-09-14188
202,clueweb12-0305wb-35-13201
202,clueweb12-0102wb-24-27720
202,clueweb12-1813wb-19-24152
202,clueweb12-1102wb-75-16220
202,clueweb12-1013wb-51-06456
202,clueweb12-0815wb-98-10077
202,clueweb12-0406wb-65-11021
202,clueweb12-0100tw-12-07624
202,clueweb12-0400tw-11-19082
202,clueweb12-1400tw-68-02181
202,clueweb12-1601wb-25-19546
202,clueweb12-0900tw-38-06478
202,clueweb12-0612wb-66-29076
202,clueweb12-1200tw-46-10668
202,clueweb12-0209wb-80-33566
202,clueweb12-0212wb-15-25356
202,clueweb12-0815wb-64-21898
202,clueweb12-0207wb-03-27722
202,clueweb12-1603wb-99-05196
202,clueweb12-1605wb-71-09476
202,clueweb12-1604wb-99-13913
202,clueweb12-1608wb-46-20460
202,clueweb12-0412wb-17-11328
202,clueweb12-0603wb-35-27709
202,clueweb12-1605wb-07-15896
202,clueweb12-1611wb-49-26966
202,clueweb12-1605wb-97-20218
202,clueweb12-1511wb-05-20801
202,clueweb12-1000tw-10-17995
202,clueweb12-1606wb-61-33047
202,clueweb12-0105wb-91-03965
202,clueweb12-0003wb-38-33795
202,clueweb12-0009wb-07-24225
202,clueweb12-1705wb-22-13047
202,clueweb12-1900tw-33-12824
202,clueweb12-0009wb-63-23500
202,clueweb12-0704wb-61-06425
203,clueweb12-0002wb-56-15117
203,clueweb12-1400tw-55-13237
203,clueweb12-1800tw-54-04940
203,clueweb12-1200tw-36-07532
203,clueweb12-1808wb-26-16413
203,clueweb12-1700tw-41-12266
203,clueweb12-0103wb-27-32640
203,clueweb12-0500tw-26-08047
203,clueweb12-0803wb-21-07780
203,clueweb12-1501wb-94-11940
203,clueweb12-1217wb-85-07116
203,clueweb12-0301tw-23-04341
203,clueweb12-1100tw-30-02547
203,clueweb12-1800tw-36-13939
203,clueweb12-0702wb-13-23198
203,clueweb12-0905wb-52-13797
203,clueweb12-1616wb-49-07379
203,clueweb12-0002wb-33-15556
203,clueweb12-0002wb-20-08962
203,clueweb12-0400wb-84-11912
203,clueweb12-0403wb-67-08751
203,clueweb12-0403wb-76-29168
203,clueweb12-0103wb-73-07361
203,clueweb12-1003wb-95-22119
